year;jounral;title;url
2017;Physical Review A 95 (4)_ 042707;Spin entanglement in elastic electron scattering from lithium atoms;https://link.aps.org/accepted/10.1103/PhysRevA.95.042707
2017;Plasma Sources Science and Technology 26 (5)_ 055014;QDB: a new database of plasma chemistries and reactions;https://iopscience.iop.org/article/10.1088/1361-6595/aa6669/meta
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;B-spline R-matrix calculations for electron-impact excitation of N3+;
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;Strong-field electron tunnelling dynamics in atomic hydrogen;
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;Comprehensive out-of-plane (e_ 2 e) measurements on He autoionizing levels;
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;Spin entanglement in elastic electron scattering from quasi-one electron atoms;
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;Few-cycle strong-field ionization of atomic hydrogen with elliptically polarized light.;
2017;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2017 …;Coherent control of the photoelectron angular distribution in short-pulse XUV ionization of neon;
2017;Journal of Physics B: Atomic_ Molecular and Optical Physics 50 (6)_ 065203;Electron impact excitation of N3+ using the B-spline R-matrix method: Importance of the target structure description and the size of the close-coupling expansion;https://iopscience.iop.org/article/10.1088/1361-6455/aa5fc4/ampdf
2017;Physical Review A 95 (1)_ 013407;Above-threshold ionization in neon produced by combining optical and bichromatic XUV femtosecond laser pulses;https://link.aps.org/accepted/10.1103/PhysRevA.95.013407
2017;Physical review letters 118 (1)_ 013002;Circular Dichroism in Multiphoton Ionization of Resonantly Excited Ions;https://link.aps.org/accepted/10.1103/PhysRevLett.118.013002
2017;IOP Publishing;Attoclock using Atomic Hydrogen;https://scholar.archive.org/work/4qed4bwpqbaipfahoqswiwfrga/access/wayback/http://iopscience.iop.org/article/10.1088/1742-6596/875/3/022039/pdf
